2025-06-18 15:46:14,0.01,NH-25-002,Sensor,PX-AI,B0001,analog_in0,False,0.09765625,0.0,0.0
2025-06-18 15:46:14,0.21,NH-25-002,Sensor,PX-DI,EMRGY,digital_in4,True,0.0,0.0,0.0
2025-06-18 15:46:14,0.41,NH-25-002,Sensor,PX-AI,B0101,analog_in1,False,3.59375,0.0,0.0
2025-06-18 15:46:14,0.61,NH-25-002,Sensor,PX-AI,B0111,analog_in2,False,0.0,0.0,0.0
2025-06-18 15:46:15,1.22,NH-25-002,Sensor,PX-DI,BM101,digital_in6,False,0.0,0.0,0.0
2025-06-18 15:46:15,1.42,NH-25-002,Sensor,PX-AI,B0201,analog_in3,False,9.08203125,0.0,0.0
2025-06-18 15:46:16,2.02,NH-25-002,Sensor,PX-DI,BM201,digital_in7,False,0.0,0.0,0.0
2025-06-18 15:46:16,2.22,NH-25-002,Sensor,PX-DI,BM202,digital_in8,False,0.0,0.0,0.0
2025-06-18 15:46:16,2.42,NH-25-002,Sensor,PX-DI,B0401,digital_in0,True,0.0,0.0,0.0
2025-06-18 15:46:15,0.82,NH-25-002,Sensor,EZO-pH,B0102,90,False,14.0,0.0,0.0
2025-06-18 15:46:16,2.62,NH-25-002,Actuator,PX-DO,M0101,digital_out6,False,0,0,0,0
2025-06-18 15:46:16,2.62,NH-25-002,Actuator,PX-DO,M0201,digital_out7,False,0,0,0,0
2025-06-18 15:46:16,2.62,NH-25-002,Actuator,PX-DO,M0111,digital_out4,False,0,0,0,0
2025-06-18 15:46:16,2.62,NH-25-002,Actuator,PX-DO,M0112,digital_out5,False,0,0,0,0
2025-06-18 15:46:16,2.62,NH-25-002,Actuator,PX-DO,M0102,digital_out2,False,0,0,0,0
2025-06-18 15:46:16,2.62,NH-25-002,Actuator,PX-DO,M0202,digital_out8,False,0,0,0,0
2025-06-18 15:46:16,2.62,NH-25-002,Actuator,PX-DO,M0203,digital_out3,False,0,0,0,0
2025-06-18 15:46:16,2.62,NH-25-002,Actuator,PX-Rel,M0204,relay0,False,0,0,0,0
2025-06-18 15:46:16,2.62,NH-25-002,Actuator,PX-DO,M0301,digital_out0,False,0,0,0,0
2025-06-18 15:46:16,2.62,NH-25-002,Actuator,PX-DO,M0501,digital_out9,False,0,0,0,0
2025-06-18 15:46:16,2.62,NH-25-002,CPU,42.8,0,0,0,0,0,0
2025-06-18 15:46:15,1.02,NH-25-002,Sensor,EZO-RTD,B0103,101,False,-1023.0,0.0,0.0
2025-06-18 15:46:15,1.62,NH-25-002,Sensor,EZO-pH,B0202,99,False,4.142,0.0,0.0
2025-06-18 15:46:16,1.82,NH-25-002,Sensor,EZO-RTD,B0203,102,False,-1023.0,0.0,0.0
2025-06-18 15:46:24,10.01,NH-25-002,Sensor,PX-AI,B0001,analog_in0,False,1.5625,0.0,0.0
2025-06-18 15:46:24,10.21,NH-25-002,Sensor,PX-DI,EMRGY,digital_in4,True,0.0,0.0,0.0
2025-06-18 15:46:24,10.41,NH-25-002,Sensor,PX-AI,B0101,analog_in1,False,3.59375,0.0,0.0
2025-06-18 15:46:24,10.62,NH-25-002,Sensor,PX-AI,B0111,analog_in2,False,0.0,0.0,0.0
2025-06-18 15:46:25,11.22,NH-25-002,Sensor,PX-DI,BM101,digital_in6,False,0.0,0.0,0.0
2025-06-18 15:46:25,11.42,NH-25-002,Sensor,PX-AI,B0201,analog_in3,False,9.130859375,0.0,0.0
2025-06-18 15:46:26,12.03,NH-25-002,Sensor,PX-DI,BM201,digital_in7,False,0.0,0.0,0.0
2025-06-18 15:46:26,12.23,NH-25-002,Sensor,PX-DI,BM202,digital_in8,False,0.0,0.0,0.0
2025-06-18 15:46:26,12.43,NH-25-002,Sensor,PX-DI,B0401,digital_in0,True,0.0,0.0,0.0
2025-06-18 15:46:25,10.82,NH-25-002,Sensor,EZO-pH,B0102,90,False,14.0,0.0,0.0
2025-06-18 15:46:26,12.64,NH-25-002,Actuator,PX-DO,M0101,digital_out6,False,0,0,0,0
2025-06-18 15:46:26,12.64,NH-25-002,Actuator,PX-DO,M0102,digital_out2,False,0,0,0,0
2025-06-18 15:46:26,12.64,NH-25-002,Actuator,PX-DO,M0111,digital_out4,False,0,0,0,0
2025-06-18 15:46:26,12.64,NH-25-002,Actuator,PX-DO,M0112,digital_out5,False,0,0,0,0
2025-06-18 15:46:26,12.64,NH-25-002,Actuator,PX-DO,M0201,digital_out7,False,0,0,0,0
2025-06-18 15:46:26,12.64,NH-25-002,Actuator,PX-DO,M0202,digital_out8,False,0,0,0,0
2025-06-18 15:46:26,12.64,NH-25-002,Actuator,PX-DO,M0203,digital_out3,False,0,0,0,0
2025-06-18 15:46:26,12.64,NH-25-002,Actuator,PX-Rel,M0204,relay0,False,0,0,0,0
2025-06-18 15:46:26,12.64,NH-25-002,Actuator,PX-DO,M0301,digital_out0,False,0,0,0,0
2025-06-18 15:46:26,12.64,NH-25-002,Actuator,PX-DO,M0501,digital_out9,False,0,0,0,0
2025-06-18 15:46:26,12.64,NH-25-002,CPU,41.3,0,0,0,0,0,0
